pathway,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,p_value,padj,qvalue,geneID,Count,rank,cancer,method,relative_rank
WANG_RECURRENT_LIVER_CANCER_UP,WANG_RECURRENT_LIVER_CANCER_UP,6/2959,20/14741,0.3,1.49452517742481,1.10903809453687,0.198064212802871,0.789522198094909,0.742834337975905,DNAJC10/PTPN11/RACGAP1/SKA2/SMURF2/ZNF652,6,127,LIHC,TG_ORA,0.24517374517374518
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP,CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP,40/2959,175/14741,0.228571428571429,1.13868584946652,0.924895651655673,0.201611543834458,0.791121993401917,0.744339530471627,ABCG2/ABHD6/ACSL6/ACSM3/ACTN2/ALDH3A2/AMACR/AR/AXIN2/BHLHE40/CAP2/CCDC170/CORIN/CPPED1/DYNC1I1/EPHB2/FAM8A1/FAS/GRHPR/HHAT/IRS1/MERTK/MTHFD1/MYRIP/PDK1/RAB11FIP2/RUNDC3B/SEC14L2/SLC1A2/SLC22A11/SLC47A1/TNFRSF19/UBXN10/UST/VLDLR/ZNF385B/ALDH1L1/H2AC8/CAVIN2/SEPTIN4,40,131,LIHC,TG_ORA,0.2528957528957529
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_UP,KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_UP,4/2959,12/14741,0.333333333333333,1.66058353047201,1.14721138637802,0.207309938657743,0.795196603313234,0.748173191087233,AK1/ALCAM/NRG2/RGS5,4,135,LIHC,TG_ORA,0.2606177606177606
ROESSLER_LIVER_CANCER_METASTASIS_DN,ROESSLER_LIVER_CANCER_METASTASIS_DN,13/2959,51/14741,0.254901960784314,1.26985799389036,0.967433657887398,0.210233767148316,0.795196603313234,0.748173191087233,AK3/AMIGO1/NOL7/PCF11/SUPT7L/TACC1/TBC1D16/TMC6/TRMU/UGT8/ZNF415/MTUS1/PRUNE1,13,136,LIHC,TG_ORA,0.2625482625482625
LEE_LIVER_CANCER_CIPROFIBRATE_UP,LEE_LIVER_CANCER_CIPROFIBRATE_UP,15/2959,60/14741,0.25,1.245437647854,0.954664341681834,0.210312615161994,0.795196603313234,0.748173191087233,ALDH3A2/BRCA1/BSG/CBFA2T3/EHHADH/GIPC2/LEPR/MYO5C/PLAT/PLIN2/QPCT/RAB30/ETS2/UCP2/VNN3P,15,137,LIHC,TG_ORA,0.2644787644787645
IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_DN,7/2959,25/14741,0.28,1.39489016559649,0.990291720412794,0.222658095510436,0.81799215230075,0.769620740734093,ATP2A2/ATXN2L/GOLGA4/IMPA2/PRPF40A/SP3/TSC22D2,7,141,LIHC,TG_ORA,0.2722007722007722
CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP,CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_UP,19/2959,79/14741,0.240506329113924,1.19814254730259,0.884924858637912,0.224650763010543,0.819500670700433,0.771040053920546,CHAC1/ELAVL1/GPR88/IGFALS/MFSD2A/MPND/NLRP11/POLD2/POR/PRKAG2/PRSS8/RHOU/SRD5A1/WNK3/ZSCAN21/ADAMTS17/FCGRT/CYP2A7/TKFC,19,142,LIHC,TG_ORA,0.27413127413127414
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP,39/2959,173/14741,0.225433526011561,1.12305360153309,0.815885339558344,0.232891114569784,0.831983429980332,0.782784653690091,ACTR3/ALCAM/ARPC5/CYP3A5/CYP3A7/FAM162A/FKBP5/GORASP1/GPX2/HMGN4/IFT74/ITGAV/MET/NADK2/NISCH/NUCKS1/OS9/PLEKHA5/PNMA3/RIC8B/RNH1/RPL27A/RPLP1/SACM1L/SCYL2/SESN1/SH3YL1/SLC25A51/SPIRE1/TDRD1/TRIT1/USP49/YAP1/ZDHHC11/ZNF721/A2M/MYO18A/SEPTIN11/ZPR1,39,145,LIHC,TG_ORA,0.2799227799227799
DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,DESERT_PERIVENOUS_HEPATOCELLULAR_CARCINOMA_SUBCLASS_UP,35/2959,155/14741,0.225806451612903,1.12491142386813,0.783450601872668,0.244118645118454,0.854958342994749,0.804400960793678,ABCC6/ABLIM1/CAP2/CERS2/CYB5B/CYP1A2/DSP/GREB1/GRHPR/GTF2IRD1/KLHL21/MCUR1/MRPL24/MRPS18B/MTHFD1/NUP133/PDHX/PEX19/PMVK/RAB11FIP2/RAD50/RPS6KC1/SEC14L2/SYNGR1/TERF2/TGIF1/TIMM17A/TMEM230/YAP1/MTMR11/NEDD4/MTIF2/SYF2/WDR12/ALDH1L1,35,147,LIHC,TG_ORA,0.28378378378378377
HOSHIDA_LIVER_CANCER_SURVIVAL_DN,HOSHIDA_LIVER_CANCER_SURVIVAL_DN,26/2959,113/14741,0.230088495575221,1.14624349890988,0.782050918016136,0.249196556708981,0.854958342994749,0.804400960793678,ACOT2/ACSM3/ANKRD46/AR/C5/CTBS/DST/F9/GGCX/GHR/GRK4/INSM1/MSH6/PCK1/PKLR/POLRMT/PPP1R1A/PTPN2/RPS6KA5/RRM1/TAF1C/TM7SF2/TRAF6/USP14/DLGAP4/ATP5F1D,26,149,LIHC,TG_ORA,0.2876447876447876
