pathway,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,p_value,padj,qvalue,geneID,Count,rank,cancer,method,relative_rank
YEGNASUBRAMANIAN_PROSTATE_CANCER,YEGNASUBRAMANIAN_PROSTATE_CANCER,5/566,2186/248612,0.00228728270814273,1.00467478557735,0.0104868675368729,0.556370955472021,0.947500772171692,0.720134395977057,hsa-miR-1258:TRIM36/hsa-miR-32-3p:AMACR/hsa-miR-423-5p:SPDEF/hsa-miR-708-5p:TRIM36/hsa-miR-93-3p:PEG3,5,172,PRAD,Edge_ORA,0.5830508474576271
SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_UP,SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX4_UP,1/566,397/248612,0.00251889168765743,1.10640759761818,0.101357561102122,0.595692150598418,0.976273246814074,0.742002503376977,hsa-miR-423-5p:NAV1,1,180,PRAD,Edge_ORA,0.6101694915254238
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_UP,SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_UP,2/566,950/248612,0.00210526315789474,0.924723823693509,-0.111043192005839,0.637154236870195,0.999999911881,0.760035615452821,hsa-miR-31-3p:BMPR1B/hsa-miR-323a-3p:GHR,2,185,PRAD,Edge_ORA,0.6271186440677966
WANG_PROSTATE_CANCER_ANDROGEN_INDEPENDENT,WANG_PROSTATE_CANCER_ANDROGEN_INDEPENDENT,1/566,684/248612,0.00146198830409357,0.642169322009381,-0.447656717110333,0.790104369662956,0.999999911881,0.760035615452821,hsa-miR-1291:DST,1,219,PRAD,Edge_ORA,0.7423728813559322
WALLACE_PROSTATE_CANCER_RACE_DN,WALLACE_PROSTATE_CANCER_RACE_DN,2/566,1481/248612,0.00135043889264011,0.59317193282163,-0.750113696137028,0.851045495879763,0.999999911881,0.760035615452821,hsa-miR-133a-5p:RABIF/hsa-miR-27b-3p:RABIF,2,230,PRAD,Edge_ORA,0.7796610169491526
OUYANG_PROSTATE_CANCER_MARKERS,OUYANG_PROSTATE_CANCER_MARKERS,1/566,870/248612,0.00114942528735632,0.504877949717721,-0.698834515329345,0.862813291197107,0.999999911881,0.760035615452821,hsa-miR-32-3p:AMACR,1,232,PRAD,Edge_ORA,0.7864406779661017
KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3,KONDO_PROSTATE_CANCER_HCP_WITH_H3K27ME3,3/566,2278/248612,0.00131694468832309,0.578459810695018,-0.965508137403789,0.891550262992043,0.999999911881,0.760035615452821,hsa-miR-1258:TRIM36/hsa-miR-378c:ALCAM/hsa-miR-708-5p:TRIM36,3,236,PRAD,Edge_ORA,0.8
WALLACE_PROSTATE_CANCER_RACE_UP,WALLACE_PROSTATE_CANCER_RACE_UP,4/566,3448/248612,0.00116009280742459,0.509563591942479,-1.38528858046833,0.954341707269716,0.999999911881,0.760035615452821,hsa-miR-1275:IFITM1/hsa-miR-200c-3p:PPARGC1A/hsa-miR-5694:WNT2B/hsa-miR-7-1-3p:MXRA7,4,259,PRAD,Edge_ORA,0.8779661016949153
WANG_HCP_PROSTATE_CANCER,WANG_HCP_PROSTATE_CANCER,1/566,1647/248612,6.0716454159077e-4,0.266693270342694,-1.42632021492703,0.976864729414414,0.999999911881,0.760035615452821,hsa-miR-152-3p:RPL28,1,268,PRAD,Edge_ORA,0.9084745762711864
WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,WP_ANDROGEN_RECEPTOR_NETWORK_IN_PROSTATE_CANCER,1/566,2867/248612,3.4879665155214e-4,0.153206772324526,-2.17846782102361,0.998601798898217,0.999999911881,0.760035615452821,hsa-miR-200c-3p:CDC25B,1,284,PRAD,Edge_ORA,0.9627118644067797
GRADE_COLON_AND_RECTAL_CANCER_DN,GRADE_COLON_AND_RECTAL_CANCER_DN,7/321,2603/248612,0.00268920476373415,2.08276814554977,1.99677556940169,0.054014521477909,0.434756023853173,0.405997843287009,hsa-miR-106a-5p:TYRP1/hsa-miR-1976:CFD/hsa-miR-26a-1-3p:DAP/hsa-miR-34a-5p:CFD/hsa-miR-423-3p:CFD/hsa-miR-4728-3p:CFD/hsa-miR-532-3p:CFD,7,31,READ,Edge_ORA,0.12062256809338522
GRADE_COLON_VS_RECTAL_CANCER_UP,GRADE_COLON_VS_RECTAL_CANCER_UP,1/321,150/248612,0.00666666666666667,5.16328141225338,1.83393359522801,0.176225591335563,0.754832949553995,0.704902365342252,hsa-miR-26a-1-3p:CANX,1,60,READ,Edge_ORA,0.23346303501945526
