pathway,Description,setSize,enrichmentScore,NES,p_value,padj,qvalue,rank,leading_edge,core_enrichment,cancer,method,relative_rank
YANAGISAWA_LUNG_CANCER_RECURRENCE,YANAGISAWA_LUNG_CANCER_RECURRENCE,1,0.506206554121152,0.679134769787348,0.993914807302231,0.99795556767071,0.865691556135808,517,"tags=100%, list=49%, signal=51%",H2AC8,LUAD,TG_Score,0.988527724665392
DING_LUNG_CANCER_MUTATED_RECURRENTLY,DING_LUNG_CANCER_MUTATED_RECURRENTLY,2,-0.286317357834616,-0.443017824399031,0.995859213250518,0.99795556767071,0.865691556135808,518,"tags=50%, list=71%, signal=14%",STK11,LUAD,TG_Score,0.9904397705544933
SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6,106,0.701239825045944,3.23434002334324,1e-10,4.02307692307692e-9,3.36842105263158e-9,1,"tags=62%, list=14%, signal=55%",SLC2A1/DSP/KIF11/GINS1/WDHD1/TRIP13/KIF2C/BIRC5/RACGAP1/CDKN3/MELK/CSE1L/CDC25A/ASPM/CDC6/JPT1/BRIP1/ZWINT/NCAPG2/PIMREG/NAA50/SSX2IP/PAICS/ZWILCH/DBF4/CENPM/PARPBP/SRD5A1/TROAP/MTIF2/NCAPG/CDYL/LSM4/CCT5/UGT8/PMAIP1/MOB1A/KCTD5/TTF2/SLC38A1/PSME3/QSER1/ACTR3/CDKN2A/ACP1/CAD/CENPN/KNTC1/PKP2/CLPB/HK2/SNRPB/EXOSC2/PCLAF/RAB22A/UBAC1/NEMP1/OIP5/UBE2K/THOP1/YME1L1/LRIF1/DGUOK/GNAS/DR1/NUP210,LUSC,TG_Score,0.0019120458891013384
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4,SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4,49,-0.606211602729389,-2.34730622086644,9.68504694425879e-7,2.30239979629425e-5,1.92774140134529e-5,22,"tags=55%, list=17%, signal=46%",GGCX/GPRC5A/QKI/SCEL/FAM13A/ATXN7/ABCA3/FYCO1/ABCC6/NEDD9/ALDH3B1/ATP8A1/CISH/MAP1LC3C/SLC39A8/SGSM2/UNC13B/CAVIN2/TMEM243/LIMCH1/PER1/ADCY7/CEACAM8/RBPMS/CFAP410/ICAM4/AK1,LUSC,TG_Score,0.04206500956022945
INAMURA_LUNG_CANCER_SCC_UP,INAMURA_LUNG_CANCER_SCC_UP,1,1,1.31541520506789,2.3200956929384e-4,0.00311130781386362,0.00260501972540458,38,"tags=100%, list=0%, signal=100%",SLC2A1,LUSC,TG_Score,0.07265774378585087
LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER,LOCKWOOD_AMPLIFIED_IN_LUNG_CANCER,60,0.403870505393451,1.67218061247068,0.00310448262368663,0.0306348002299643,0.025649747198682,53,"tags=45%, list=20%, signal=36%",CKS1B/NUDT1/SRD5A1/C5orf22/MRPL36/NDUFS6/TARS1/CCT5/HDGF/MRPL11/PUF60/NAT10/CUL2/CCDC127/CLPTM1L/FASTKD3/TFRC/EGFR/PCYT1A/YY1/MET/METTL1/ZNF3/OTULIN/RIT1/DAP/ATP6V1C1,LUSC,TG_Score,0.10133843212237094
LI_AMPLIFIED_IN_LUNG_CANCER,LI_AMPLIFIED_IN_LUNG_CANCER,41,0.435536459226658,1.69471487641494,0.00749425781560062,0.0664230062563919,0.0556143113669297,59,"tags=59%, list=22%, signal=46%",DSP/PLPP2/CCT5/KPNA4/HDGF/ZNF146/YWHAQ/UCHL1/SOX4/RPL37/ELOC/RPL27A/NQO1/TALDO1/CEACAM5/NME4/STAT1/ADGRG1/RPS16/CANX/DAP/POSTN/PHLDA2/RPL37A,LUSC,TG_Score,0.11281070745697896
KEGG_NON_SMALL_CELL_LUNG_CANCER,KEGG_NON_SMALL_CELL_LUNG_CANCER,12,0.592136800652629,1.63684604529038,0.0277222508962457,0.162907159761084,0.136398064729015,89,"tags=58%, list=15%, signal=50%",TGFA/CDKN2A/E2F1/E2F2/HRAS/E2F3/EGFR,LUSC,TG_Score,0.1701720841300191
WP_NONSMALL_CELL_LUNG_CANCER,WP_NONSMALL_CELL_LUNG_CANCER,18,0.50923050108476,1.59533635887415,0.0295660012233197,0.171811318219958,0.143853292501766,90,"tags=50%, list=15%, signal=43%",CASP3/TGFA/PDK1/CDKN2A/E2F1/E2F2/HRAS/E2F3/EGFR,LUSC,TG_Score,0.17208413001912046
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER,DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER,28,0.42397331029624,1.49905484232532,0.0463834707707871,0.233190654538969,0.195244665972046,103,"tags=64%, list=34%, signal=43%",PAK2/KPNA4/RYK/EIF3H/TXNL1/E2F3/METTL4/ASH2L/NUP153/BRMS1L/ANKRD46/SNAP29/C19orf12/SEC23IP/ARMC8/NSD3/NAPG/NIPBL,LUSC,TG_Score,0.19694072657743786
