"cancer","seed","sd","range","IQR","MAD","pathway","method","n_enrich","n_pathway","time","positive_rate"
"STAD",345,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",0,12,1.983,0
"STAD",345,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,61.875,0
"STAD",456,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.5,0
"STAD",456,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",0,12,2.06299999999999,0
"STAD",456,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,63.602,0
"STAD",567,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.48099999999999,0
"STAD",567,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",1,12,2.006,0.0833333333333333
"STAD",567,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,64.718,0
"STAD",678,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.53200000000001,0
"STAD",678,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",0,12,2.03999999999999,0
"STAD",678,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,127.183,0
"STAD",789,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.92000000000002,0
"STAD",789,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",2,12,2.56299999999999,0.166666666666667
"STAD",789,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,57.724,0
"STAD",890,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",2,12,1.67100000000002,0.166666666666667
"STAD",890,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",2,12,2.012,0.166666666666667
"STAD",890,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",2,12,119.249,0.166666666666667
"STAD",901,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.613,0
"STAD",901,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_2Ddist",0,12,2.18200000000002,0
"STAD",901,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Topology",0,12,71.64,0
"STAD",12,0.0747016215338706,1.00392773938053,0.0658893095740499,0.0467426517085473,"TN","Edge_Score",0,12,1.816,0
